Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL,Nanotek Price,Nanotek Status,Nanotek URL,Winsoft Price,Winsoft Status,Winsoft URL
Golden Field Q20B 3.0 CASING,goldenfieldq20b30casing,,,,4000.0,Out of Stock,https://www.nanotek.lk/product/golden-field-q20b-30-casing,,,
Corsair iCUE 5000T RGB,corsairicue5000trgb,,,,92000.0,Out of Stock,https://www.nanotek.lk/product/corsair-icue-5000t-rgb,,,
MSI FORGE 321R AIRFLOW ARGB,msiforge321rairflowargb,,,,22500.0,out of stock,https://www.nanotek.lk/product/msi-forge-321r-airflow-argb,,,
GAMDIAS AURA GC6 ELITE ARGB CASING,gamdiasauragc6eliteargbcasing,,,,14000.0,Out of Stock,https://www.nanotek.lk/product/gamdias-aura-gc6-elite-argb-casing,,,
LIAN LI LANCOOL 217X BLACK,lianlilancool217xblack,,,,37500.0,Out of Stock,https://www.nanotek.lk/product/lian-li-lancool-217x-black,,,
Lian Li LANCOOL II MESH C Performance-X,lianlilancooliimeshcperformancex,,,,33500.0,In stock,https://www.nanotek.lk/product/lian-li-lancool-ii-mesh-c-performance-x,,,
ANTEC AX63 WOOD ARGB,antecax63woodargb,,,,14500.0,Out of Stock,https://www.nanotek.lk/product/antec-ax63-wood-argb,,,
ANTEC AX85 ARGB,antecax85argb,,,,16500.0,Out of Stock,https://www.nanotek.lk/product/antec-ax85-argb,,,
ANTEC C8 CURVE WOOD,antecc8curvewood,,,,38500.0,Out of Stock,https://www.nanotek.lk/product/antec-c8-curve-wood,,,
ANTEC C8 ALUMINIUM WHITE,antecc8aluminiumwhite,,,,34500.0,Out of Stock,https://www.nanotek.lk/product/antec-c8-aluminium-white,,,
LIAN LI LANCOOL 207DX DIGITAL,lianlilancool207dxdigital,,,,35000.0,In Stock,https://www.nanotek.lk/product/lian-li-lancool-207dx-digital,,,
CORSAIR 3500X ARGB Black / White,corsair3500xargbblackwhite,,,,34500.0,In Stock,https://www.nanotek.lk/product/corsair-3500x-argb-black-white,,,
Antec Performance 1 FT ARGB Full Tower Case,antecperformance1ftargbfulltowercase,,,,35500.0,In Stock,https://www.nanotek.lk/product/antec-performance-1-ft-argb-full-tower-case,,,
NZXT H7 FLOW WHITE CASING,nzxth7flowwhitecasing,,,,22500.0,In Stock,https://www.nanotek.lk/product/nzxt-h7-flow-white-casing,,,
NZXT H9 FLOW WHITE,nzxth9flowwhite,,,,28500.0,In Stock,https://www.nanotek.lk/product/nzxt-h9-flow-white,,,
NZXT H7 FLOW BLACK & WHITE,nzxth7flowblackwhite,,,,26500.0,Out of Stock,https://www.nanotek.lk/product/nzxt-h7-flow-black-white,,,
NZXT H5 ELITE BLACK/WHITE,nzxth5eliteblackwhite,,,,32500.0,Out of Stock,https://www.nanotek.lk/product/nzxt-h5-elite-blackwhite,,,
NZXT H7 ELITE WHITE,nzxth7elitewhite,,,,25500.0,Out of Stock,https://www.nanotek.lk/product/nzxt-h7-elite-white,,,
ASUS PRIME A21 PLUS BLACK - PC CASE,asusprimea21plusblackpccase,,,,26500.0,Out of Stock,https://www.nanotek.lk/product/asus-prime-a21-plus-black-pc-case,,,
ASUS Prime AP201 TG MicroATX Case,asusprimeap201tgmicroatxcase,,,,33500.0,Out of Stock,https://www.nanotek.lk/product/asus-prime-ap201-tg-microatx-case,,,
NZXT H5 FLOW (2024),nzxth5flow,,,,30000.0,In Stock,https://www.nanotek.lk/product/nzxt-h5-flow-2024,,,
