Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL,Nanotek Price,Nanotek Status,Nanotek URL,Winsoft Price,Winsoft Status,Winsoft URL
PROLINK PRO906ES PROFESSIONAL II SERIES 6KVA ONLINE UPS,prolinkpro906esprofessionalii6kvaonlineups,,,,395000.0,Pre-Order,https://www.nanotek.lk/product/prolink-pro906es-professional-ii-series-6kva-online-ups,,,
ANTEC NE1000G M ATX3.0 1000W 80+ GOLD,antecne1000gmatx301000w80gold,,,,54500.0,Out of Stock,https://www.nanotek.lk/product/antec-ne1000g-m-atx30-1000w-80-gold,,,
ANTEC HCG 1000W PRO PCIe 5  ATX3.1 80+ PLATINUM  Full Modular,antechcg1000wpropcie5atx3180platinumfullmodular,,,,74500.0,Out of Stock,https://www.nanotek.lk/product/antec-hcg-1000w-pro-pcie-5-atx31-80-platinum-full-modular,,,
MSI MAG A750GL PCIE5 750 WATT 80+ Gold Fully Modular,msimaga750glpcie5750watt80goldfullymodular,,,,33500.0,Out of Stock,https://www.nanotek.lk/product/msi-mag-a750gl-pcie5-750-watt-80-gold-fully-modular,,,
ANTEC HCG 1200W PRO PCIe 5.1 ATX3.1 80+ PLATINUM Full Modular,antechcg1200wpropcie51atx3180platinumfullmodular,,,,84500.0,Out of Stock,https://www.nanotek.lk/product/antec-hcg-1200w-pro-pcie-51-atx31-80-platinum-full-modular,,,
ANTEC SF850X 850W ATX3.1 80+ GOLD,antecsf850x850watx3180gold,,,,45000.0,In Stock,https://www.nanotek.lk/product/antec-sf850x-850w-atx31-80-gold,,,
PROLINK UPS PRO3000SFCU,prolinkupspro3000sfcu,,,,64000.0,Out of Stock,https://www.nanotek.lk/product/prolink-ups-pro3000sfcu,,,
PROLINK UPS PRO2000SFCU,prolinkupspro2000sfcu,,,,40500.0,In Stock,https://www.nanotek.lk/product/prolink-ups-pro2000sfcu,,,
PROLINK PRO903ES PROFESSIONAL II SERIES 3KVA ONLINE UPS,prolinkpro903esprofessionalii3kvaonlineups,,,,136000.0,In Stock,https://www.nanotek.lk/product/prolink-pro903es-professional-ii-series-3kva-online-ups,,,
PROLINK PRO902ES Professional II+ Series 2KVA Online UPS,prolinkpro902esprofessionalii2kvaonlineups,,,,99500.0,In stock,https://www.nanotek.lk/product/prolink-pro902es-professional-ii-series-2kva-online-ups,,,
Antec ATOM B650 650W 80+ Bronze,antecatomb650650w80bronze,,,,18500.0,Out of Stock,https://www.nanotek.lk/product/antec-atom-b650-650w-80-bronze-1,,,
Antec ATOM B550 550W 80+ Bronze,antecatomb550550w80bronze,,,,16500.0,out of stock,https://www.nanotek.lk/product/antec-atom-b550-550w-80-bronze-1,,,
PROLINK UPS PRO1201SFCU,prolinkupspro1201sfcu,,,,21000.0,In stock,https://www.nanotek.lk/product/prolink-ups-pro1201sfcu,,,
Seasonic Vertex GX-850 850W 80 Plus Gold Modular,seasonicvertexgx850850w80plusgoldmodular,,,,60000.0,Out of Stock,https://www.nanotek.lk/product/seasonic-vertex-gx-850-850w-80-plus-gold-modular,,,
SEASONIC S12III SERIES 650W 80+ BRONZE,seasonics12iii650w80bronze,,,,24500.0,Out of Stock,https://www.nanotek.lk/product/seasonic-s12iii-series-650w-80-bronze,,,
ANTEC ATOM G650 650W 80+ GOLD Semi Modular ATX 2.0,antecatomg650650w80goldsemimodularatx20,,,,20500.0,In Stock,https://www.nanotek.lk/product/antec-atom-g650-650w-80-gold-semi-modular-atx-20,,,
ANTEC GSK750 750W ATX3.1  FULLY MODULAR 80+ GOLD,antecgsk750750watx31fullymodular80gold,,,,33500.0,Out of Stock,https://www.nanotek.lk/product/antec-gsk750-750w-atx31-fully-modular-80-gold,,,
ANTEC GSK850 850W ATX3.1  FULLY MODULAR 80+ GOLD,antecgsk850850watx31fullymodular80gold,,,,37500.0,Out of Stock,https://www.nanotek.lk/product/antec-gsk850-850w-atx31-fully-modular-80-gold,,,
ANTEC ATOM G750 750W 80+ GOLD Semi Modular ATX 2.0,antecatomg750750w80goldsemimodularatx20,,,,22500.0,Out of Stock,https://www.nanotek.lk/product/antec-atom-g750-750w-80-gold-semi-modular-atx-20,,,
GAMDIAS HELIOS M1-550B 550W BRNZE,gamdiasheliosm1550b550wbrnze,,,,15500.0,Out of Stock,https://www.nanotek.lk/product/gamdias-helios-m1-550b-550w-brnze,,,
Corsair RMe RM750E CYBERNETICS 750W 80+ GOLD,corsairrmerm750ecybernetics750w80gold,,,,42500.0,In Stock,https://www.nanotek.lk/product/corsair-rme-rm750e-cybernetics-750w-80-gold,,,
Corsair RM1200x Shift 80+ GOLD Fully Modular ATX 3.0 & PCIe 5.0,corsairrm1200xshift80goldfullymodularatx30pcie50,,,,80000.0,Out of Stock,https://www.nanotek.lk/product/corsair-rm1200x-shift-80-gold-fully-modular-atx-30-pcie-50,,,
ANTEC NEOECO GOLD MODULAR NE750G M ATX 3.0 750W,antecneoecogoldmodularne750gmatx30750w,,,,35500.0,Out of Stock,https://www.nanotek.lk/product/antec-neoeco-gold-modular-ne750g-m-atx-30-750w,,,
CORSAIR RM1000X FULLY MODULAR 80+ GOLD,corsairrm1000xfullymodular80gold,,,,65500.0,Out of Stock,https://www.nanotek.lk/product/corsair-rm1000x-fully-modular-80-gold,,,
ANTEC NEOECO GOLD MODULAR NE850G M ATX 3.0 850W,antecneoecogoldmodularne850gmatx30850w,,,,41500.0,Out of Stock,https://www.nanotek.lk/product/antec-neoeco-gold-modular-ne850g-m-atx-30-850w,,,
Corsair RMx RM850X CYBERNETICS 850W ATX v3.1,corsairrmxrm850xcybernetics850watxv31,,,,47500.0,In Stock,https://www.nanotek.lk/product/corsair-rmx-rm850x-cybernetics-850w-atx-v31,,,
