Component Name,Normalized Name,Computerzone Price,Computerzone Status,Computerzone URL,Nanotek Price,Nanotek Status,Nanotek URL,Winsoft Price,Winsoft Status,Winsoft URL
Noctua NH-U12A Chromax.Black Edition Premium Quiet Air Cooler,noctuanhu12achromaxblackpremiumquietair,,,,39000.0,Out of Stock,https://www.nanotek.lk/product/noctua-nh-u12a-chromaxblack-edition-premium-quiet-air-cooler,,,
NOCTUA NH-D15 DUAL TOWER PREMIUM AIR COOLER,noctuanhd15dualtowerpremiumair,,,,45000.0,Out of Stock,https://www.nanotek.lk/product/noctua-nh-d15-dual-tower-premium-air-cooler,,,
Noctua NH-D9L Dual Tower Premium Air Cooler,noctuanhd9ldualtowerpremiumair,,,,19500.0,Out of Stock,https://www.nanotek.lk/product/noctua-nh-d9l-dual-tower-premium-air-cooler,,,
Noctua NH-D12L Low Height Dual Tower High Performance Air Cooler,noctuanhd12llowheightdualtowerhighperformanceair,,,,32500.0,In Stock,https://www.nanotek.lk/product/noctua-nh-d12l-low-height-dual-tower-high-performance-air-cooler,,,
Noctua NH-U12S Redux Slim and Performance Air Cooler,noctuanhu12sreduxslimandperformanceair,,,,19000.0,Out of Stock,https://www.nanotek.lk/product/noctua-nh-u12s-redux-slim-and-performance-air-cooler,,,
Noctua NH-U12A Premium Quiet Air Cooler,noctuanhu12apremiumquietair,,,,35000.0,Out of Stock,https://www.nanotek.lk/product/noctua-nh-u12a-premium-quiet-air-cooler,,,
MSI MAG CORELIQUID ARGB E360 CPU Liquid Cooler,msimagliquidargbe360liquid,,,,50000.0,In Stock,https://www.nanotek.lk/product/msi-mag-coreliquid-argb-e360-cpu-liquid-cooler,,,
GAMDIAS BOREAS P1 720 BLACK,gamdiasboreasp1720black,,,,24500.0,Out of Stock,https://www.nanotek.lk/product/gamdias-boreas-p1-720-black,,,
MSI MPG CORELIQUID ARGB D360 360mm CPU Liquid Cooler,msimpgliquidargbd360360mmliquid,,,,106000.0,In Stock,https://www.nanotek.lk/product/msi-mpg-coreliquid-argb-d360-360mm-cpu-liquid-cooler,,,
Lian Li Galahad II TRINITY 360mm Liquid CPU Cooler,lianligalahadiitrinity360mmliquid,,,,61000.0,Out of Stock,https://www.nanotek.lk/product/lian-li-galahad-ii-trinity-360mm-liquid-cpu-cooler,,,
LIAN LI UNI FAN SL INFINITY 3 FANS PACK,lianliunifanslinfinity3fans,,,,49500.0,Out of Stock,https://www.nanotek.lk/product/lian-li-uni-fan-sl-infinity-3-fans-pack,,,
Lian Li Galahad II TRINITY SL-INF 360mm Liquid CPU Cooler,lianligalahadiitrinityslinf360mmliquid,,,,77000.0,Out of Stock,https://www.nanotek.lk/product/lian-li-galahad-ii-trinity-sl-inf-360mm-liquid-cpu-cooler,,,
Lian Li Galahad II LCD 360mm Liquid CPU Cooler - WHITE\BLACK,lianligalahadiilcd360mmliquidwhiteblack,,,,96000.0,Out of Stock,https://www.nanotek.lk/product/lian-li-galahad-ii-lcd-360mm-liquid-cpu-cooler-whiteblack,,,
Lian Li Galahad II TRINITY 240mm Liquid CPU Cooler,lianligalahadiitrinity240mmliquid,,,,41500.0,Out of Stock,https://www.nanotek.lk/product/lian-li-galahad-ii-trinity-240mm-liquid-cpu-cooler,,,
CORSAIR RS120 ARGB SINGLE FAN White/ Black,corsairrs120argbsinglefanwhiteblack,,,,6000.0,In Stock,https://www.nanotek.lk/product/corsair-rs120-argb-single-fan-white-black,,,
Corsair ICUE H150i ELITE LCD XT Display Liquid CPU Cooler,corsairicueh150ielitelcdxtdisplayliquid,,,,120000.0,Out of Stock,https://www.nanotek.lk/product/corsair-icue-h150i-elite-lcd-xt-display-liquid-cpu-cooler,,,
DEEPCOOL N200 laptop cooling pad,deepcooln200laptopcoolingpad,,,,,,,3000.0,In Stock,https://www.winsoft.lk/product/deepcool-n200-laptop-cooling-pad/
DEEPCOOL XFAN 120 Hydro Bearing Black Fan,deepcoolxfan120hydrobearingblackfan,,,,,,,1800.0,In Stock,https://www.winsoft.lk/product/deepcool-xfan-120-fan/
DeepCool FC120 PC Fan 120mm 1800RPM,deepcoolfc120pcfan120mm1800rpm,,,,,,,3900.0,In Stock,https://www.winsoft.lk/product/deepcool-fc120-black-rgb-fan/
Eco Series ARGB Multiple Ring Fans Kit With Controller,ecoargbmultipleringfanskitcontroller,,,,,,,5900.0,In Stock,https://www.winsoft.lk/product/eco-series-argb-multiple-ring-fans/
DeepCool Gammaxx Series AG200 Air Cooler,deepcoolgammaxxag200air,,,,,,,4500.0,In Stock,https://www.winsoft.lk/product/deepcool-gammaxx-series-ag200-air-cooler/
QI LIN 360 ARGB AIO Liquid Cooler,qilin360argbaioliquid,,,,,,,22500.0,In Stock,https://www.winsoft.lk/product/qi-lin-360-argb-aio-liquid-cooler/
Deepcool Gamer storm Assassin III,deepcoolgamerstormassassiniii,,,,,,,19500.0,In Stock,https://www.winsoft.lk/product/deepcool-gamer-storm-assassin-iii/
Deepcool Gammaxx L240 V2 Liquid Cooler,deepcoolgammaxxl240v2liquid,,,,,,,16500.0,In Stock,https://www.winsoft.lk/product/deepcool-gammaxx-l240-v2/
DeepCool LD240 240mm Liquid Cooler with Triple Status Display,deepcoolld240240mmliquidtriplestatusdisplay,,,,,,,31500.0,In Stock,https://www.winsoft.lk/product/deepcool-ld240-240mm-liquid-cooler/
White Emperor 360 ARGB Liquid Cooler,whiteemperor360argbliquid,,,,,,,22500.0,In Stock,https://www.winsoft.lk/product/white-emperor-360-argb-liquid-cooler/
DeepCool LD360 WH 360mm Liquid Cooler with Triple Status Display,deepcoolld360wh360mmliquidtriplestatusdisplay,,,,,,,42500.0,In Stock,https://www.winsoft.lk/product/deepcool-ld360-wh-360mm-liquid-cooler-with-triple-status-display/
